idProducto,titulo,categoria,descripcion,precio,tags,stock,imagen,link,region,ciudad,cantidadReviews,unaEstrella,dosEstrellas,tresEstrellas,cuatroEstrellas,cincoEstrellas,reviewPromedio,likes,dislikes,opiniones,idVendedor,nombre,tagsVendedor,regionVendedor,ciudadVendedor,reputacion,reputacionEstrellas,completadas,canceladas,total,ratingPositivo,ratingNeutral,ratingNegativo,ventas,reclamos,entregasRetrasadas,cancelaciones,DISPLAY_BRAND,DISPLAY_LINE,DISPLAY_MODEL,MANUFACTURER,DISPLAY_TYPE,COLOR,COMPATIBLE_CELLPHONE_BRANDS,COMPATIBLE_CELLPHONE_LINES,COMPATIBLE_CELLPHONE_MODELS,PACKAGE_HEIGHT,PACKAGE_WIDTH,PACKAGE_LENGTH,PACKAGE_WEIGHT,GTIN,EMPTY_GTIN_REASON,SCREEN_TECHNOLOGY,DISPLAY_SIZE,WEIGHT,WIDTH,LENGTH,ITEM_CONDITION,MPN,BRAND,MODEL,SELLER_SKU,IS_FLAMMABLE,IS_KIT,DESCRIPTIVE_TAGS,PRODUCT_FEATURES,PRODUCT_CHEMICAL_FEATURES,FOODS_AND_DRINKS,MEDICINES,BATTERIES_FEATURES,SHIPMENT_PACKING,ADDITIONAL_INFO_REQUIRED,EXCLUDED_PLATFORMS,IS_SUITABLE_FOR_SHIPMENT,PRODUCT_DATA_SOURCE,LIMITED_MARKETPLACE_VISIBILITY_REASONS,HAS_COMPATIBILITIES
MLC1032855126,Pantalla Para Redmi Note 11/ 11s 4g ,MLC48906,"SOMOS Z-TEL DISTRIBUIDOR DE REPUESTOS Y ACCESORIOS PARA TELEFONOS CELULARES  TENEMOS SUCURSAL EN SANTIAGO Y COPIAPO 

HACEMOS ENVIO A TODO CHILE",27546,good_quality_thumbnail kvs_primary standard_price_by_channel good_quality_picture immediate_payment cart_eligible best_seller_candidate shipping_guaranteed,1,http://http2.mlstatic.com/D_667591-MLC52035604162_102022-I.jpg,https://articulo.mercadolibre.cl/MLC-1032855126-pantalla-para-redmi-note-11-11s-4g-_JM,RM (Metropolitana),Santiago,11,0,0,0,1,10,4.9,0,0," Excelente. Muy buena calidad, funciona de maravilla. Buena calidad 👌. Recomendado al 100%. Quedó funcionando perfectamente.",288539605,ZTEL.CL,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,3,5,1720,212,1932,0.84,0.04,0.12,627,0.0029,0.0029,0.0014,generica,,redmi note 11,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC1018317866,Pantalla Compatible Con iPhone XR Calidad Oled +kit + Sello,MLC48906,"Bienvenidos a Phonex

Estimado cliente usted esta a punto de adquirir este respuesto que es compatible para el teléfono iPhone XR EN CALIDAD OLED, excelente calidad.
Al Inicio de la publicación puedes conseguir la variante donde se encuentran los modelos disponibles y los que usted necesite?
También puede preguntar antes de comprar para aclarar sus dudas.

Para asegurar la calidad de nuestros productos y servicio, todas nuestras pantallas son probadas y contienen un numero de serie antes de ser despachadas.
Recomendamos que este repuesto sea instalado por un profesional, pero si tienes habilidades y te atreves a cambiarla tu mismo, por favor asegúrate de seguir todos los pasos de los tutoriales que vas a utilizar y revisarlo al menos un par de veces antes de realizar la reparación.
Recuerda que estamos para responder todas tus dudas en cuanto al repuesto y si tienes alguna otra pregunta, no dudes en contactarnos.

CONTENIDO: 

-Pantalla para IPhone XR + Kit de herramientas + Sello de Agua

Pantalla Calidad OLED
Modelos Compatibles: iPhone XR A1984, A2105, A2106, A2107, A2108
TODOS LOS PRODUCTOS CON GARANTÍA 100% (SIEMPRE QUE ESTE EN LAS MISMAS CONDICIONES QUE SE ENTREGO CON SUS PLÁSTICOS, ADHESIVOS ETC.) Sin despegar.
*La GARANTÍA es de 30 días siempre y cuando sea por defectos de fabrica, debido a que son artículos sensibles a dañarse por mal uso.
*Para que la GARANTÍA sea valida debe devolver el producto con todos sus sellos de fabrica y sin rastros de manipulación ya que se entenderá que el desperfecto fue causado por el consumidor.
*Pantalla/Display/Touch/Tactiles para cubrir garantía deben estar con sus sellos de seguridad en perfecto estado, la pantalla en general en las mismas condiciones que fue entregada no aceptamos devoluciones de pantallas trizadas , con rastros de instalación u otros.
*La GARANTÍA cubre solo defectos de fabrica tomando en cuenta el tiempo del mismo.
*No nos hacemos responsables por los daños ocasionados por la empresa de envíos, ya es responsabilidad de ellos.
*El costo de envió por GARANTÍA de cualquier producto o equipo correrá por cuenta del comprador.
*Somos una empresa dedicada a proteger, mejorar y prolongar la vida de cualquier dispositivo móvil.

Entregas en nuestra oficina en Providencia a pasos del Metro Pedro de Valdivia
Lunes a Viernes de 9:00 a 18:00 hrs horario Continuado Sabados 10:00 a 14:00hras.
Domingos y Feriados cerrado.

HACEMOS ENTREGAS PERSONALES EN NUESTRA TIENDA A PASOS DEL METRO PEDRO DE VALDIVIA Y ENVIOS A TODO CHILE.

REALIZA TODAS TUS PREGUNTAS Y CON GUSTO TE RESPONDEREMOS.

EN CASO DE ALGÚN PROBLEMA POR FAVOR NO INICIE UN RECLAMO

YA QUE POR LAS NUEVAS POLÍTICAS DE MERCADO LIBRE SOLO NOS GENERA PROBLEMAS

CON LA REPUTACIÓN.",34190,good_quality_picture good_quality_thumbnail kvs_primary immediate_payment cart_eligible best_seller_candidate,1,http://http2.mlstatic.com/D_695196-MLC50586452969_072022-I.jpg,https://articulo.mercadolibre.cl/MLC-1018317866-pantalla-compatible-con-iphone-xr-calidad-oled-kit-sello-_JM,RM (Metropolitana),Providencia,19,1,0,0,1,17,4.7,0,0," Excelente calidad recomendable. Excelente calidad buen empaque toda su herramienta sirven para hacer el cambio completo de la pantalla hasta uno mismo en un rato de por el pegamento que trae eva pero en realidad es muy firme no es necesario comprar otro pegamento como dije el kit es muy completo y sirve muchísimo. Excelente producto igual al original muy buena calidad lo recomiendo. Excelente calidad. Buen producto, buena calidad para ser una pantalla alternativa, velocidad y brillo idénticos a original, cambia un poco los negros, pero es normal.",668860029,PHONEXCHILE,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Providencia,3,5,8022,575,8597,0.95,0.03,0.02,1082,0.0085,0.0008,0,PHONEX,,XR,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC953892571,Pantalla Para Samsung Galaxy A12 Mas Lámina De Regalo ,MLC48906,"SOMOS LA TIENDA DEL CELULAR. 

NOTA: ESTÁ PANTALLA DEL SAMSUNG A12 VIENE EN 2 VERSIONES EL MODELO A125 Y EL MODELO A127 ESTÁ VERSIÓN ES PARA LOS 2 MODELOS A125 / A127.

PRODUCTO: PANTALLA COMPATIBLE CON SAMSUNG GALAXY A12 MAS LAMINA DE REGALO.

VERSIÓN: A125 - A127.

DISPONIBLE EN: NEGRO. 

GARANTIA:
RECORDAR PROBAR LOS PRODUCTOS ANTES DE PEGARLO. UNA VEZ PEGADO NO SE PUEDE TRAMITAR CAMBIOS NI DEVOLUCIÓN. EN CASO DE NO PODER LLEVAR A CABO LA INSTALACIÓN CORRECTAMENTE COMUNICATE CON NUESTRO SERVICIO TÉCNICO DE LUNES A VIERNES DESDE LAS 10 AM HASTA LAS 6 PM. 

DESCRIPCIÓN

PRODUCTO NUEVO AL ALCANCE DE TU BOLSILLO!!

TÉRMINOS Y CONDICIONES
-----------------------------------------------------------

- Todos nuestros productos tienen 1 mes de garantía por fallas de fabricación y con sus embalajes y protecciones originales.

- Los Repuestos de teléfono u cualquier articulo comprado en nuestro sitio debe ser revisados por un profesional o técnico especializado antes de ser instalados, generando pruebas de funcionamiento optimas para recién ser instalado en el equipo. 

- Solo se efectuaran Garantías siempre que cuente con sus plásticos u envoltorios originales y sin deterioros. El incumplimiento de estos puntos sera causa de rechazo y no se podrá efectuar garantías correspondientes.

- Nuestro horario de atención es de Lunes a Viernes de 09:00 a 20:00 hrs. Sábados y Domingos 10:00 a 18:00 hrs. 

- Las fotografías del artículo son referenciales. Revisa la descripción y pregúntanos si aún tienes dudas.

- MEDIOS DE PAGO : MERCADO PAGO , Tarjeta de Crédito (6 a 12 Meses precio sin interés), Débito o Transferencia

- PREGUNTENOS si tienes cualquier duda, estamos para ayudarte y resolver todo. 

NUESTRO SERVICIO TÉCNICO DE CELULARES, REPARAMOS O CAMBIAMOS
- Flex de Carga 
- Cambio de pantalla / Cristal Glass
- Reparaciones en Placas
- Software
- Cámaras frontales 
- Cámaras traseras 
- Botón Home 
- Auricular 
- Sensor de Proximidad
- Problemas de Audio 
- Entre otras situaciones que mantenga su equipo celular

===================================",21648,kvs_primary good_quality_thumbnail good_quality_picture immediate_payment cart_eligible best_seller_candidate shipping_guaranteed,1,http://http2.mlstatic.com/D_603251-MLC48864119244_012022-I.jpg,https://articulo.mercadolibre.cl/MLC-953892571-pantalla-para-samsung-galaxy-a12-mas-lamina-de-regalo-_JM,RM (Metropolitana),Estacion Central,25,0,0,2,0,23,4.8,0,0," En ese estado estaba mi pantalla el pack kedo impecabke los colores son los mismos de oruginal. Muy bien empaquetado, buena presentación y garantía. Exelente, funciona bien y buen calidad. Muy útil adecuado. Esta bien, solo que al ser alternativa tiene un tono de color violeta y al momento de tomar fotos con la cámara delantera se ve como si tuviera un filtro y no se ven bien las fotos, también son más frágiles qué las originales. Las recomiendo como última opción.",768415156,LATIENDADELCELULARCHILE,normal eshop mshops credits_profile messages_as_seller,RM (Metropolitana),Estacion Central,1,5,1060,113,1173,0.69,0.11,0.2,214,0.0042,0,0,,,A12,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC1405337489,Pantalla Compatible iPhone X + Lamina + Envío ,MLC48906,"Pantalla compatible con iPhone X
Calidad Oled
Lamina Full Glass de regalo 
Fácil de instalar
Envío gratis a todo Chile",33990,kvs_primary good_quality_thumbnail immediate_payment cart_eligible shipping_guaranteed,1,http://http2.mlstatic.com/D_828142-MLC70660846845_072023-I.jpg,https://articulo.mercadolibre.cl/MLC-1405337489-pantalla-compatible-iphone-x-lamina-envio-_JM,RM (Metropolitana),Lampa,1,0,0,0,0,1,5,1,0, Buen producto.,710767358,MAITECAMUSCABELLO,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Lampa,3,5,2149,282,2431,0.64,0.05,0.31,731,0.0049,0.0423,0.0024,Servitec,,X,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC1383568065,Pantalla Para Redmi Note 11/ 11s 4g Oled - Envió Gratis,MLC48906,"Pantalla Para Redmi Note 11 / 11s 4G
Envió Gratis Por Mercado Envíos a todo Chile.
Entrega Coordinada en el mismo día solo en la regio metropolitana.
Instalación a Domicilio a toda la región Metropolitana.
Consultar Por Protecciones.
Recepción y envió de equipos a regiones.
Venta de repuestos al mayor y al detalle.
Devoluciones sujetas a políticas de Mercado Libre.
Puedes Resolver cualquier duda en la opción preguntas y serán respondidas a la brevedad.",31990,kvs_primary good_quality_thumbnail immediate_payment cart_eligible shipping_guaranteed,1,http://http2.mlstatic.com/D_615743-MLC69371643399_052023-I.jpg,https://articulo.mercadolibre.cl/MLC-1383568065-pantalla-para-redmi-note-11-11s-4g-oled-envio-gratis-_JM,RM (Metropolitana),Lampa,4,0,0,0,1,3,4.8,0,0," Impecable, nada que decir.",710767358,MAITECAMUSCABELLO,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Lampa,3,5,2149,282,2431,0.64,0.05,0.31,731,0.0049,0.0423,0.0024,Servitec,,redmi note 11 / 11s,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC1012866027,Pantalla Para Samsung A32 Versión 4g Incell ( Con Marco),MLC48906,"SOMOS ""ZTEL""

Estamos en santiago centro 
Hacemos envío a todo chile 

Horario de atención 
lunes a viernes de 10:00 a 19:00
   sábados de 10:30 a 14:30

 
=======================================================================

Descripción : 

Pantalla A32 versión 4G
Calidad incell
Con marco 
Solo disponible en color negro 


Garantía de 30 días",28000,kvs_primary standard_price_by_channel good_quality_thumbnail immediate_payment cart_eligible best_seller_candidate shipping_guaranteed,1,http://http2.mlstatic.com/D_967008-MLC53585481397_022023-I.jpg,https://articulo.mercadolibre.cl/MLC-1012866027-pantalla-para-samsung-a32-version-4g-incell-con-marco-_JM,RM (Metropolitana),Santiago,4,0,0,0,0,4,5,0,0," Funcionó a la perfección. Funcionó perfecto. Bueno hasta, testeando&sin fallas.",288539605,ZTEL.CL,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,3,5,1720,212,1932,0.84,0.04,0.12,627,0.0029,0.0029,0.0014,samsung,,a32 4g,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC1325457213,Pantalla Xiaomi Redmi Note 10/note 10s 4g,MLC48906,"MODELOS COMPATIBLES: M2101K7AI, M2101K7AG
SOMOS Z-TEL REPUESTOS Y ACCESORIOS PARA TELEFONOS CELULARES HACEMOS ENVIO A TODO CHILE
ESTAMOS EN CENTRO DE SANTIAGO CENTRO Y SUCURSAL EN COPIAPO (NORTE)

Comprueba el título, la imagen y los atributos antes de comprar. Confirma que el artículo que has comprado no tiene errores. Póngase en contacto con nosotros si tiene alguna pregunta.
1. La pantalla es un producto muy frágil. Después de recibir el producto, no lo instales. ¿Prueba primero? Solo tienes que conectar la pantalla al teléfono. Si tiene alguna pregunta, 
por favor contáctenos durante la prueba. Después de instalar la pantalla del teléfono, no habrá Reembolso de devolución
2. Debido a que la pantalla lcd es frágil y de alto valor, es necesario e importante grabar un vídeo cuando, desempaquete el paquete y será una prueba válida cuando recibas 
pantallas lcd dañadas oSi no sigue esta solicitud, no somos responsables de ello una vez que se produzca esta situación.
3. La reparación es una cosa interesante e inspiradora, pero también necesitas algunas habilidades especializados. Si no está especializado en la reparación de ensamblaje, 
deje que el personal profesional lo instale, la pantalla se dañará durante el proceso de instalación, no hay garantía, pida a personal profesional que la instale cuidadosamente
4. Hay una etiqueta especial en la parte posterior de la pantalla LCD, mantenla puesta
La pantalla es una prueba válida de garantía.
5. Después de recibir la pantalla, prueba primero. Cuando lo pruebes, vincula la pantalla al teléfono primero e instala la batería. No conecte el cable de carga durante la prueba.
6 si tienes alguna pregunta después de recibir el paquete, contáctanos primero, no comentes ni inicies disputas antes de que el problema no sea manejado, créanos, 
resolveremos el problema por ti, tenemos un buen equipo postventa
7. Si recibes el producto perfecto, por favor danos una buena valoración de 5 estrellas, este es el apoyo para nuestro trabajo, muchas gracias",24900,good_quality_thumbnail kvs_primary standard_price_by_channel immediate_payment cart_eligible shipping_guaranteed,1,http://http2.mlstatic.com/D_949777-MLC53727705616_022023-I.jpg,https://articulo.mercadolibre.cl/MLC-1325457213-pantalla-xiaomi-redmi-note-10note-10s-4g-_JM,RM (Metropolitana),Santiago,9,3,0,0,1,5,3.6,6,0," Bueno. Al poner la pantalla se quebró de inmediato, junto con presionarla suavemente para que pegara con la cinta doble contacto. Todo muy bien. La pantalla se oscurece de la nada y debes jugar con el nivel del brillo y ahí vuelve a la normalidad. A veces no pesca el touch y por último se calienta la pantalla cuando estoy jugando. Pésima calidad de imagen. El teléfono se vuelve loco.",288539605,ZTEL.CL,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,3,5,1720,212,1932,0.84,0.04,0.12,627,0.0029,0.0029,0.0014,ZTEL,,NOTE 10,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC624235361,Pantalla Para Y9 Prime 2019 - Envio Gratis,MLC48906,"Pantalla Para Y9 Prime 2019.
Producto Nuevo.
Envió Gratis Por Mercado Envíos a todo Chile.
Entrega Coordinada en el mismo día solo en la regio metropolitana.
Instalación a Domicilio a toda la región Metropolitana.
Consultar Por Protecciones.
Recepción y envió de equipos a regiones.
Venta de repuestos al mayor y al detalle.
Devoluciones sujetas a políticas de Mercado Libre.
Puedes Resolver cualquier duda en la opción preguntas y serán respondidas a la brevedad.",24990,good_quality_picture kvs_primary good_quality_thumbnail immediate_payment cart_eligible shipping_guaranteed,1,http://http2.mlstatic.com/D_866917-MLC46522570031_062021-I.jpg,https://articulo.mercadolibre.cl/MLC-624235361-pantalla-para-y9-prime-2019-envio-gratis-_JM,RM (Metropolitana),Lampa,8,0,0,1,2,5,4.5,0,0," Excelente producto. Calidad incell, al hacer la instalación todo perfecto, pero después de un día apareció unos pieles quemados. Pero nada que reclamar ya qué uno sabe que las pantallas incell son asi.",710767358,MAITECAMUSCABELLO,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Lampa,3,5,2149,282,2431,0.64,0.05,0.31,731,0.0049,0.0423,0.0024,Servitec,,y9 Prime 2019,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC1377558085,Pantalla Compatible Con iPhone 11 Incell,MLC48906,"================= FIXMOBILE ======================


 ESPECIFICACIONES TÉCNICAS:

Pantalla IPHONE 11

Color:  Negro

-------------------------------------------------------------------------------------------- 

| PRECIOS PREFERENCIALES EN INSTALACIÓN

 EN NUESTRO LOCAL PARA NUESTROS CLIENTES DE MERCADO LIBRE 

-------------------------------------------------------------------------------------------- 

DESPACHO O RETIRO:

| Delivery y Envíos a todo Chile !

| Puedes retirar el producto de forma personal en nuestra tienda física. 
 
| Si vives en una zona alejada a nuestra tienda, puedes utilizar Mercado Envíos,
 que nos permite llegar a cualquier parte del país y te enviamos el producto a la sucursal
 de correo más cercana a tu casa u oficina, estés donde estés.



 Estamos ubicados en el centro de la ciudad de Viña del Mar !

-------------------------------------------------------------------------------------------

MEDIOS DE PAGO:

- Transferencia, efectivo y puedes pagar con tarjeta de credito hasta en 12 cuotas a través de mercado pago !

-------------------------------------------------------------------------------------------- 

EN CASO DE TENER ALGUN PROBLEMA CON SU PRODUCTO AGRADECERIAMOS DIRIGIRLE EN PRIMERA INSTANCIA A NOSOTROS POR INTERNO PARA OFRECERLE LA MEJOR SOLUCIÓN A SU CASO,


================= FIXMOBILE ======================",33600,kvs_primary good_quality_thumbnail immediate_payment cart_eligible shipping_guaranteed,1,http://http2.mlstatic.com/D_764912-MLC69679454908_052023-I.jpg,https://articulo.mercadolibre.cl/MLC-1377558085-pantalla-compatible-con-iphone-11-incell-_JM,Valparaíso,Viña Del Mar,7,2,0,0,1,4,3.7,2,0," Lleva do día ínstalas la pantalla, funcionando sin problemas. La comparé con otro iphone 11 y no anda para nada mal la calidad por el valor. Los problemas son los colores en blancos y negros, pero son tan leve que pasan colados con la original. Yo estoy conforme con la compra y espero no tenga otros problemas a futuro. Excelente producto viene en una caja muy segura y se ve todo muy bien , instalada tiene colores muy vivos.",709729032,FIXMOBILEVIÑA,normal mshops credits_profile messages_as_seller,Valparaíso,Viña Del Mar,3,5,2906,440,3346,0.89,0.05,0.06,602,0.0137,0.0253,0,GENERICO,,IPHONE 11,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC624235178,Pantalla Para Y9s + Envio Gratis A Todo Chile,MLC48906,"Pantalla Y9s.
Producto Nuevo.
10 Puntos Táctiles.
Envió Gratis Por Mercado Envíos a todo Chile.
Entrega Coordinada en el mismo día solo en la regio metropolitana.
Instalación a Domicilio a toda la región Metropolitana.
Consultar Por Protecciones.
Recepción y envió de equipos a regiones.
Venta de repuestos al mayor y al detalle.
Devoluciones sujetas a políticas de Mercado Libre.
Puedes Resolver cualquier duda en la opción preguntas y serán respondidas a la brevedad.",24990,good_quality_thumbnail good_quality_picture kvs_primary immediate_payment cart_eligible shipping_guaranteed,1,http://http2.mlstatic.com/D_757914-MLC69460377469_052023-I.jpg,https://articulo.mercadolibre.cl/MLC-624235178-pantalla-para-y9s-envio-gratis-a-todo-chile-_JM,RM (Metropolitana),Lampa,6,1,0,0,0,5,4.3,1,0," Cambie la pantalla hace 2 semanas y todo bien, funcionando sin problemas hasta el dia de hoy. La pantalla venía mala y no fueron capaces de darme una solución por la falla del producto. Se niegan a devolver el dinero y no responden los mensajes, 0% recomendable. Acabo de instalar la pantalla en mi celular y hasta ahora va todo bien, aunque los marcos son un poquito más gruesos pero por el precio esta muy bien.",710767358,MAITECAMUSCABELLO,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Lampa,3,5,2149,282,2431,0.64,0.05,0.31,731,0.0049,0.0423,0.0024,Servitec,,Y9s,,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
