idProducto,titulo,categoria,descripcion,precio,tags,stock,imagen,link,region,ciudad,cantidadReviews,unaEstrella,dosEstrellas,tresEstrellas,cuatroEstrellas,cincoEstrellas,reviewPromedio,likes,dislikes,opiniones,idVendedor,nombre,tagsVendedor,regionVendedor,ciudadVendedor,reputacion,reputacionEstrellas,completadas,canceladas,total,ratingPositivo,ratingNeutral,ratingNegativo,ventas,reclamos,entregasRetrasadas,cancelaciones,BRAND,LINE,MODEL,COMPATIBLE_CELLPHONE_BRANDS,COMPATIBLE_CELLPHONE_LINES,COMPATIBLE_CELLPHONE_MODELS,CELLPHONE_BATTERY_TYPE,CELLPHONE_BATTERY_OUTPUT_VOLTAGE,BATTERY_CAPACITY,PACKAGE_HEIGHT,PACKAGE_WIDTH,PACKAGE_LENGTH,PACKAGE_WEIGHT,GTIN,HAZMAT_TRANSPORTABILITY,ANATEL_HOMOLOGATION_NUMBER,EMPTY_GTIN_REASON,CELLPHONE_BATTERY_INPUT_VOLTAGE,MPN,ITEM_CONDITION,SELLER_SKU,IS_FLAMMABLE,IS_KIT,DESCRIPTIVE_TAGS,PRODUCT_FEATURES,PRODUCT_CHEMICAL_FEATURES,FOODS_AND_DRINKS,MEDICINES,BATTERIES_FEATURES,SHIPMENT_PACKING,ADDITIONAL_INFO_REQUIRED,EXCLUDED_PLATFORMS,IS_SUITABLE_FOR_SHIPMENT,PRODUCT_DATA_SOURCE,LIMITED_MARKETPLACE_VISIBILITY_REASONS,HAS_COMPATIBILITIES
MLC534835297,Batería Genérica Recargable Modelo Bl-5c Alta Calidad,MLC5068,"SOMOS SILALA SOLUCIONES ENERGÉTICAS. TIENDA VIRTUAL LÍDER EN REPUESTOS PARA TELEFONÍA

REPUESTO ALTERNATIVO DE CELULAR DE ALTA CALIDAD

Para retiro, realizamos entregas en nuestra dirección en Santiago Centro cerca del metro Santa Ana o La Moneda. Luego de la compra se indicará la dirección exacta, por políticas de MercadoLibre.

REALIZAMOS ENVÍOS A TODO CHILE:

Envíos a las comunas del anillo central de Región Metropolitana: utilizamos servicio particular para ENTREGAS EN EL MISMO DÍA por compras antes del horario de corte (de lunes a sábado hasta las 12:00m). 

Envíos a Regiones a través de MercadoEnvíos (el transportista es asignado automáticamente por el sistema en razón de conveniencia de precio y localidad, no participamos en la selección del transportista).

NOTA: el costo de envío puede variar dependiendo de la comuna, el cual puede consultar directamente en la publicación, debajo de la sección del precio del producto.

El sistema tomará sus datos automáticamente, los cuales serán utilizados únicamente para la realización del envío.

- Los datos del artículo los podrá encontrar en la ficha técnica en la parte superior de la publicación.

- Los valores indicados en la ficha técnica del artículo pueden ser aproximados. Si desea conocer en detalle algún valor de la ficha técnica puede consultarnos en la sección de preguntas.

- Recomendamos altamente la instalación profesional. No seremos responsables de ningún daño a su teléfono celular / teléfono móvil que pueda causar durante el cambio de piezas de repuesto.

- Las fotografías del artículo son referenciales. En caso de que aplique, siempre puede consultar por disponibilidad de color. Si ninguna variante es especificada se enviará por defecto el artículo mostrado en la imagen o el que se encuentre con mayor disponibilidad.

- Nuestro producto cuenta con garantía de funcionamiento de 3 meses.

- PREGÚNTENOS si tiene cualquier duda, estamos para ayudarle.",5690,kvs_primary extended_warranty_eligible good_quality_picture loyalty_discount_eligible good_quality_thumbnail immediate_payment cart_eligible,1,http://http2.mlstatic.com/D_775916-MLC42448600979_072020-I.jpg,https://articulo.mercadolibre.cl/MLC-534835297-bateria-generica-recargable-modelo-bl-5c-alta-calidad-_JM,RM (Metropolitana),Santiago,59,2,0,2,4,51,4.7,3,0," Muy bueno hacia mucho tiempo que lo buscaba. Regular. Ok. Hasta el momento funcionando sin problemas en celular own f 1026. Buena bateria, le hizo perfecto a celular para tercera edad.",456239551,SILALASOLUCIONESENERGÉTICAS,normal eshop mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,2,5,3543,223,3766,0.94,0.04,0.02,665,0.0181,0.0072,0.0027,Alternativa,,BL-5C,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC964205207,Bateria Para iPhone 7 Plus + Adhesivo - Dcompras   ,MLC5068,"Batería compatible con iPhone 7 Plus + Adhesivo de regalo

Capacidad: 2910 mAh
Voltaje:3.80

Batería Con Chip Interno calidad AAA que permite indicar el nivel de vida útil de la batería y la cantidad de ciclos.

Se diferencia de la alternativa corriente porque el chip tiene la función de regular el nivel de carga que ingresa, evitando que esta se hinche con el tiempo como ocurre con las alternativas corrientes. Pudiendo dañar su pantalla u otro componente de su equipo. Con este producto no ocurre eso.

TODOS LOS PRODUCTOS CON GARANTÍA 100% (SIEMPRE QUE ESTE EN LAS MISMAS CONDICIONES QUE SE ENTREGO CON SUS PLÁSTICOS, ADHESIVOS ETC.) Sin despegar.

Políticas de Compra, Medios de Pago y Preguntas Frecuentes se encuentran en las imágenes del producto.
Estamos Cercano al Metro DEPARTAMENTAL
Hacemos envíos por Starken a regiones y Mercado Flex el mismo día previo pago en la Región Metropolitana
Cualquier Duda sera respondida a la Brevedad.",11990,extended_warranty_eligible good_quality_picture good_quality_thumbnail kvs_primary loyalty_discount_eligible immediate_payment,1,http://http2.mlstatic.com/D_697985-MLC49822349124_052022-I.jpg,https://articulo.mercadolibre.cl/MLC-964205207-bateria-para-iphone-7-plus-adhesivo-dcompras-_JM,RM (Metropolitana),San Miguel,16,0,0,1,0,15,4.9,0,0," Muy buena quedó al 100 el iphone, la recomiendo. Buena calidad y tiempo respuesta. Excelente alternativa. Excelente.",1073339417,DEASISCLO20220212191344,normal credits_profile messages_as_seller,RM (Metropolitana),San Miguel,3,5,5113,578,5691,0.92,0.04,0.04,824,0.0165,0.0136,0.0044,Genérico,,616-00249,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC923240067,Batería Para Samsung Galaxy J2 Prime,MLC5068,"BATERIA ALTERNATIVA DE ALTA CALIDAD

ENVIOS A TODO CHILE mediante Chilexpress o Starken. AL COMPRAR SE LE PEDIRAN LOS DETALLES

INFORMACION IMPORANTE:

- En la ficha técnica podrá visualizar los datos del artículo

- Los valores indicados en la ficha técnica del artículo pueden ser aproximados. Si desea conocer en detalle algún valor de la ficha técnica puede consultar en la sección de preguntas.

- Recomendamos altamente la instalación profesional. No seremos responsables de ningún daño a su teléfono celular / teléfono móvil que pueda causar durante el cambio de piezas de repuesto.

- Consulte POR NUESTO SERVICIO TENICO

- Las fotografías del artículo son referenciales.

- El producto cuenta con garantía de funcionamiento de 3 meses.

- Para su conveniencia y tranquilidad ante la actual contingencia, todos los productos cuentan con ENVIOS PERSONALIZADOS, por lo que haremos llegar el producto directamente a su puerta.

- Puede consultar también por la modalidad de entrega personal.

- Si tiene cualquier duda, siéntese a gusto de realizarla en la sección de preguntas.",7250,loyalty_discount_eligible good_quality_thumbnail kvs_primary good_quality_picture extended_warranty_eligible immediate_payment cart_eligible,1,http://http2.mlstatic.com/D_728876-MLC47942772903_102021-I.jpg,https://articulo.mercadolibre.cl/MLC-923240067-bateria-para-samsung-galaxy-j2-prime-_JM,RM (Metropolitana),Santiago,20,0,0,1,0,19,4.9,0,0," Excelente. Todo bien. Bateria original samsung! funciona perfecto. Hola buenas tardes buen producto. Gracias. Excelente, perfecta y 100 operativa.",451110374,ENRITECNOSTORE,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,1,5,1995,136,2131,0.91,0.04,0.05,310,0.0091,0.0084,0,Genérico,,EB-BG530CBE,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC434769297,Bateria Alternativa Bl-5c Nokia 1100 1600 2xxx 3100 6xxx 76x,MLC5068,"Bateria Alternativa Bl-5c Nokia 1100 1600 2xxx 3100 6xxx 76x

* Capacidad de la batería: 650 mAh
* Marca: Genérico
* Voltaje de salida: null
* Condición del ítem: Nuevo
* Modelo: BL-5C
* SKU: 217074",1810,kvs_primary good_quality_thumbnail loyalty_discount_eligible good_quality_picture immediate_payment cart_eligible,100,http://http2.mlstatic.com/D_956479-MLC44574218801_012021-I.jpg,https://articulo.mercadolibre.cl/MLC-434769297-bateria-alternativa-bl-5c-nokia-1100-1600-2xxx-3100-6xxx-76x-_JM,RM (Metropolitana),Santiago,47,0,0,3,1,43,4.9,1,0," Es lo que necesitaba, funciona perfectamente. La compré para usarla en vídeo cámara del auto. Lo que esperaba. Excelente me encanto este producto. Compré 2. Uno venía bueno y el otro malo, no se pudo usar. Solo he utilizado 1 para adaptarla a un control de xbox360 y hasta el momento no la he cargado la primera vez.",6941319,TECNOPICADA,normal eshop mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,3,5,66093,3675,69768,0.91,0.03,0.06,11247,0.0048,0.0035,0.0043,Tgshop,,Bateria Alternativa Bl-5c Nokia 1100 1600 2xxx 3100 6xxx 76x,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC964142642,Bateria Para iPhone 7 + Adhesivo - Dcompras,MLC5068,"Batería compatible con iPhone 7 + Adhesivo de regalo

Capacidad 1.960 mAh
Voltaje:3.80

Batería Con Chip Interno calidad AAA 
Se diferencia de la alternativa corriente porque el chip tiene la función de regular el nivel de carga que ingresa, evitando que esta se hinche con el tiempo como ocurre con las alternativas corrientes. Pudiendo dañar su pantalla u otro componente de su equipo. Con este producto no ocurre eso.

Nota: No indica porcentaje de vida útil de la batería. 

TODOS LOS PRODUCTOS CON GARANTÍA 100% (SIEMPRE QUE ESTE EN LAS MISMAS CONDICIONES QUE SE ENTREGO CON SUS PLÁSTICOS, ADHESIVOS ETC.) Sin despegar.

Políticas de Compra, Medios de Pago y Preguntas Frecuentes se encuentran en las imágenes del producto.
Estamos Cercano al Metro DEPARTAMENTAL
Hacemos envíos por Starken a regiones y Mercado Flex el mismo día previo pago en la Región Metropolitana
Cualquier Duda sera respondida a la Brevedad.",11490,extended_warranty_eligible kvs_primary good_quality_thumbnail loyalty_discount_eligible good_quality_picture immediate_payment,1,http://http2.mlstatic.com/D_863274-MLC49141571190_022022-I.jpg,https://articulo.mercadolibre.cl/MLC-964142642-bateria-para-iphone-7-adhesivo-dcompras-_JM,RM (Metropolitana),San Miguel,14,0,0,0,3,11,4.8,0,0," Buena pero el pegamento que trae es cinta doble contacto comun ademas igual se pega caidas raras en la carga. Funciona súper e indica el porcentaje de bateria. Excelente, buen precio, buena calidad. Lo instalé y ya llevo 1 semana todo bien, con el iphone reconociéndolo que está al 100%. Gracias :). Cumple su objetivo, aunque no dura mucho la bateria como una original.",1073339417,DEASISCLO20220212191344,normal credits_profile messages_as_seller,RM (Metropolitana),San Miguel,3,5,5113,578,5691,0.92,0.04,0.04,824,0.0165,0.0136,0.0044,Genérico,,616-0772,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC975849976,Bateria Para iPhone 8 + Adhesivo - Dcompras,MLC5068,"Batería compatible con iPhone 8 + Adhesivo de regalo

Modelo: 616-00357
Capacidad 1821 mAh
Voltaje:3.80

Batería Con Chip Interno calidad AAA que permite indicar el nivel de vida útil de la batería y la cantidad de ciclos.

Se diferencia de la alternativa corriente porque el chip tiene la función de regular el nivel de carga que ingresa, evitando que esta se hinche con el tiempo como ocurre con las alternativas corrientes. Pudiendo dañar su pantalla u otro componente de su equipo. Con este producto no ocurre eso.

TODOS LOS PRODUCTOS CON GARANTÍA 100% (SIEMPRE QUE ESTE EN LAS MISMAS CONDICIONES QUE SE ENTREGO CON SUS PLÁSTICOS, ADHESIVOS ETC.) Sin despegar.

Políticas de Compra, Medios de Pago y Preguntas Frecuentes se encuentran en las imágenes del producto.
Estamos Cercano al Metro DEPARTAMENTAL
Hacemos envíos por Starken a regiones y Mercado Flex el mismo día previo pago en la Región Metropolitana
Cualquier Duda sera respondida a la Brevedad.",10490,good_quality_picture good_quality_thumbnail extended_warranty_eligible kvs_primary immediate_payment,1,http://http2.mlstatic.com/D_626958-MLC49450329748_032022-I.jpg,https://articulo.mercadolibre.cl/MLC-975849976-bateria-para-iphone-8-adhesivo-dcompras-_JM,RM (Metropolitana),San Miguel,11,1,0,1,0,9,4.5,0,0," Beteria de excelente calidad y con una duración más que la esperada. Funciono perfecto en mi iphone 8 , volvio a la vida. La cambie yo mismo, nada complicado.",1073339417,DEASISCLO20220212191344,normal credits_profile messages_as_seller,RM (Metropolitana),San Miguel,3,5,5113,578,5691,0.92,0.04,0.04,824,0.0165,0.0136,0.0044,Genérico,,616-00357,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC1799725736,Bateria Original Samsung Galaxy A02 5000 Mah Genuina,MLC5068,"""Batería ORIGINAL Samsung Galaxy A02""
-----------------------------------------------------------------------
 ""SERVICIO TÉCNICO ESPECIALIZADO""
-----------------------------------------------------------------------

• Producto Original Sacado de equipos GARANTIZADAS
• Compatible con Samsung Galaxy A13 4G - A21S - A12 - A02
• Modelo: EB-BA217ABY
• Garantizados 3 meses

Características

• Bateria Samsung Galaxy Original
• Tipo: Li - ion Battery
• Modelo: EB-BA217ABY
• Capacidad: 5000 mAh
• Voltaje: 3.8 v / 19.25 Wh

------------------------------------------------------------------
CONSULTE POR INSTALACIÓN EN TIENDA""
-----------------------------------------------------------------

Respaldo VENTAS ELECTRONICAS

• Líderes en ventas online",14900,good_quality_thumbnail kvs_primary immediate_payment cart_eligible,1,http://http2.mlstatic.com/D_966595-MLC46641028541_072021-I.jpg,https://articulo.mercadolibre.cl/MLC-1799725736-bateria-original-samsung-galaxy-a02-5000-mah-genuina-_JM,RM (Metropolitana),Santiago,1,0,0,0,0,1,5,0,0, Funciona al 100%.,625133434,VENTAS ELECTRONICAS-S,normal credits_profile mshops messages_as_seller,RM (Metropolitana),Santiago,3,5,10918,740,11658,0.9,0.04,0.06,1870,0.0085,0.0005,0.0005,Samsung,,EB-BA217ABY,,,,,,,,,,,,,,,,,Reacondicionado,,,,,,,,,,,,,,,,
MLC2053534510,Bateria Compatible Con Huawei Mate 10 Lite,MLC5068,,11990,extended_warranty_eligible good_quality_thumbnail kvs_primary immediate_payment cart_eligible,1,http://http2.mlstatic.com/D_641886-MLC72360503917_102023-I.jpg,https://articulo.mercadolibre.cl/MLC-2053534510-bateria-compatible-con-huawei-mate-10-lite-_JM,RM (Metropolitana),La Florida,0,0,0,0,0,0,0,0,0,,280532776,DEWINVARELA,credits_profile normal mshops messages_as_seller,RM (Metropolitana),La Florida,3,5,1602,182,1784,0.91,0,0.09,441,0.0021,0.0022,0.0021,Huawei,,HB356687ECW,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC964320528,Bateria Para iPhone 6s + Adhesivo - Dcompras,MLC5068,"Batería compatible con iPhone 6s + Adhesivo de regalo

Capacidad:1715 mAh
Voltaje:3.82

Batería Con Chip Interno calidad AAA que permite indicar el nivel de vida útil de la batería y la cantidad de ciclos.

Se diferencia de la alternativa corriente porque el chip tiene la función de regular el nivel de carga que ingresa, evitando que esta se hinche con el tiempo como ocurre con las alternativas corrientes. Pudiendo dañar su pantalla u otro componente de su equipo. Con este producto no ocurre eso.

TODOS LOS PRODUCTOS CON GARANTÍA 100% (SIEMPRE QUE ESTE EN LAS MISMAS CONDICIONES QUE SE ENTREGO CON SUS PLÁSTICOS, ADHESIVOS ETC.) Sin despegar.

Políticas de Compra, Medios de Pago y Preguntas Frecuentes se encuentran en las imágenes del producto.
Estamos Cercano al Metro DEPARTAMENTAL
Hacemos envíos por Starken a regiones y Mercado Flex el mismo día previo pago en la Región Metropolitana
Cualquier Duda sera respondida a la Brevedad.",10490,good_quality_thumbnail extended_warranty_eligible kvs_primary good_quality_picture immediate_payment,1,http://http2.mlstatic.com/D_955051-MLC49141333357_022022-I.jpg,https://articulo.mercadolibre.cl/MLC-964320528-bateria-para-iphone-6s-adhesivo-dcompras-_JM,RM (Metropolitana),San Miguel,17,2,0,0,0,15,4.5,0,0," Buen producto, cumple muy bien su función. El adhesivo no corresponde(tradicional doble cara).
El sello del envoltorio se encontraba roto.
Batería defectuosa.
Se conecta batería anterior y funciona celular. Excelente producto funcionando perfecto 👌. Buen producto. Funciona perfecto, fácil de instalar y la calidad y durabilidad muy buenas.",1073339417,DEASISCLO20220212191344,normal credits_profile messages_as_seller,RM (Metropolitana),San Miguel,3,5,5113,578,5691,0.92,0.04,0.04,824,0.0165,0.0136,0.0044,Genérico,,616-00036,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
MLC568225134,Batería Huawei Y9 Prime 2019,MLC5068,"SOMOS SILALA SOLUCIONES ENERGÉTICAS. TIENDA VIRTUAL LÍDER EN REPUESTOS PARA TELEFONÍA

REPUESTO ALTERNATIVO DE CELULAR DE ALTA CALIDAD

Para retiro, realizamos entregas en nuestra dirección en Santiago Centro cerca del metro Santa Ana o La Moneda. Luego de la compra se indicará la dirección exacta, por políticas de MercadoLibre.

REALIZAMOS ENVÍOS A TODO CHILE:

Envíos a las comunas del anillo central de Región Metropolitana: utilizamos servicio particular para ENTREGAS EN EL MISMO DÍA por compras antes del horario de corte (de lunes a sábado hasta las 12:00m). 

Envíos a Regiones a través de MercadoEnvíos (el transportista es asignado automáticamente por el sistema en razón de conveniencia de precio y localidad, no participamos en la selección del transportista).

NOTA: el costo de envío puede variar dependiendo de la comuna, el cual puede consultar directamente en la publicación, debajo de la sección del precio del producto.

El sistema tomará sus datos automáticamente, los cuales serán utilizados únicamente para la realización del envío.

- Los datos del artículo los podrá encontrar en la ficha técnica en la parte superior de la publicación.

- Los valores indicados en la ficha técnica del artículo pueden ser aproximados. Si desea conocer en detalle algún valor de la ficha técnica puede consultarnos en la sección de preguntas.

- Recomendamos altamente la instalación profesional. No seremos responsables de ningún daño a su teléfono celular / teléfono móvil que pueda causar durante el cambio de piezas de repuesto.

- Las fotografías del artículo son referenciales. En caso de que aplique, siempre puede consultar por disponibilidad de color. Si ninguna variante es especificada se enviará por defecto el artículo mostrado en la imagen o el que se encuentre con mayor disponibildiad.

- Nuestro producto cuenta con garantía de funcionamiento de 3 meses.

- PREGÚNTENOS si tiene cualquier duda, estamos para ayudarle.",16046,good_quality_picture good_quality_thumbnail extended_warranty_eligible kvs_primary immediate_payment cart_eligible,1,http://http2.mlstatic.com/D_936172-MLC50740713126_072022-I.jpg,https://articulo.mercadolibre.cl/MLC-568225134-bateria-huawei-y9-prime-2019-_JM,RM (Metropolitana),Santiago,4,0,0,0,0,4,5,0,0," Buenproducto. Excelente producto, bueno era lo que esperaba. Hasta ahora una excelente batería, falta prueba de día a día, pero está buena.",456239551,SILALASOLUCIONESENERGÉTICAS,normal eshop mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,2,5,3543,223,3766,0.94,0.04,0.02,665,0.0181,0.0072,0.0027,Genérico,,HB446486ECW,,,,,,,,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,
