idProducto,titulo,categoria,descripcion,precio,tags,region,ciudad,cantidadReviews,unaEstrella,dosEstrellas,tresEstrellas,cuatroEstrellas,cincoEstrellas,reviewPromedio,likes,dislikes,opiniones,idVendedor,nombre,tagsVendedor,regionVendedor,ciudadVendedor,reputacion,reputacionEstrellas,completadas,canceladas,total,ratingPositivo,ratingNeutral,ratingNegativo,ventas,reclamos,entregasRetrasadas,cancelaciones,BRAND,LINE,MODEL,POWER,COLOR,COMPATIBLE_LAPTOP_BRANDS,COMPATIBLE_LAPTOP_LINES,COMPATIBLE_LAPTOP_MODELS,INPUT_VOLTAGE,AMPERAGE_OUTPUT,IS_ORIGINAL,OUTPUT_VOLTAGE,OUTPUT_CONNECTOR,IS_UNIVERSAL,GTIN,PACKAGE_HEIGHT,PACKAGE_WIDTH,PACKAGE_LENGTH,PACKAGE_WEIGHT,SEC_STAMP,ANATEL_HOMOLOGATION_NUMBER,INMETRO_CERTIFICATION_REGISTRATION_NUMBER,ELECTRICAL_SAFETY_CERTIFICATE_NUMBER,EMPTY_GTIN_REASON,MAIN_COLOR,COMPATIBILITY,INCLUDES_POWER_CABLE,MPN,ITEM_CONDITION,SELLER_SKU,IS_FLAMMABLE,IS_KIT,DESCRIPTIVE_TAGS,PRODUCT_FEATURES,PRODUCT_CHEMICAL_FEATURES,FOODS_AND_DRINKS,MEDICINES,BATTERIES_FEATURES,SHIPMENT_PACKING,ADDITIONAL_INFO_REQUIRED,EXCLUDED_PLATFORMS,IS_SUITABLE_FOR_SHIPMENT,PRODUCT_DATA_SOURCE,LIMITED_MARKETPLACE_VISIBILITY_REASONS,HAS_COMPATIBILITIES,stock,imagen,link
MLC518800936,Cargador Para Dell 19.5v 4.62a Inspiron Vostro Latitud,MLC9240,,8325,,RM (Metropolitana),Santiago,0,0,0,0,0,0,0.0,0,0,,420392268,GLOBALKERRY.CL,normal eshop mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,3,5,52950,2558,55508,0.94,0.03,0.03,7087,0.0086,0.0001,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLC540076822,Cargador Dell 19.5v 6.7a 130w,MLC9240,"CARACTERÍSTICAS

 

Salida (output): 19.5V-6.7A (130w)

Conector (clavija): 74.5*3.0mm

Cargador Original

Modelo  

 

Garantía 3 Meses

Protección contra el cortocircuito y el sobreconsumo






************************** AVISO IMPORTANTE *************************************

MERCADOLIBRE CONSIDERA LAS BATERIAS COMO CARGA PELIGROSA, POR ESTE MOTIVO NO PUEDE SER DESPACHADA POR MERCADOENVIOS, PUEDE RETIRAR EN NUESTRA OFICINA O REALIZAMOS DESPACHOS POR PAGAR VIA STARKEN

***************************************************************

RETIRA TU PRODUCTO EN NUESTRO LOCAL DE FORMA INMEDIATA


***************************************************************
Comercial FLEXACOMP Limitada a pasos Metro Bellavista de La Florida
- Lunes a viernes de 11:00 a 14:00hrs y de 17:00 a 18:00
- Debes retirar con tu carnet de identidad.
***************************************************************
ENVIO A DOMICILIO O A SUCURSAL
***************************************************************

- Envíos de lunes a viernes, entrega desde 24 horas hábiles a empresa de transporte
- Envíos por pagar vía Starken (verificar disponibilidad antes de solicitar)
***************************************************************
TÉRMINOS Y CONDICIONES
***************************************************************
- Entregamos boleta o factura.
- Producto con 3 meses de garantía.
- Envíos a todo Chile.
- Local físico a pasos del Metro Bellavista de La Florida",49990,extended_warranty_eligible good_quality_thumbnail kvs_primary immediate_payment cart_eligible shipping_guaranteed,RM (Metropolitana),La Florida,0,1,0,0,0,1,0.0,0,0,,16425325,FLEXACOMP LTDA.,normal eshop mshops credits_profile messages_as_seller,RM (Metropolitana),La Florida,3,5,5437,519,5956,0.96,0.02,0.02,906,0.0071,0.0446,0.0071,Dell,,PA-5M10,130 W,,,,,,,,,,,,,,21.6 cm,680 g,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC518395062,Cargador Notebook Hp Pavilion Split 19.5v 2.31a 45w X360,MLC9240,"PCTECNO // OFICINA EN METRO PLAZA DE ARMAS/UCHILE
- Atencion de: Lunes a Viernes , ( consulte horario de retiro).¬†No atendemos Feriados ni Festivos
**************************************************************
Codigo Pctecno: 03305 **************************************************************
DESCRIPCION DEL PRODUCTO¬†
**************************************************************
Cargador alternativo para Notebook HP 19.5V 2.31A 45W
Estado¬† ¬† ¬† Nuevo cargador alternativo marca genericaPais Fabricante¬† ¬† ¬† ChinaVoltaje de entrada¬† ¬† ¬† 110 a 220V (apto para cualquier pais)Voltaje de salida¬† ¬† ¬† 19.5V 2.31A
Potencia de salida¬† ¬† ¬† 45 Watts (45w)Plug cargador¬† ¬† ¬† 4.5 x 3.0 mm 
Cable de poder
¬† ¬† ¬† incluido con enchufe nacional

Algunos modelos HP compatibles: 
- HP Pavilion 11-n070eg x360 Convertible
- HP Pro X2 410 G1 Convertible
- HP EliteBook Folio 1040 G1
- HP EliteBook Folio 1040 G1 (H5F62ET) Ultrabook
- HP Spectre 13-3010eg Ultrabook

**************************************************************
RETIRA TU PRODUCTO EN NUESTRA OFICINA
**************************************************************
- Local en Santiago Centro
- Lunes a Viernes , ( consulte horario de retiro). 
- Te avisaremos cuando tu pedido este listo.
- Debes retirar con tu carnet de identidad

**************************************************************
ENVIO A DOMICILIO O A SUCURSAL
**************************************************************
- Envios a todo Chile por Mercadoenvios (Chilexpress)
- Envios de lunes a viernes entrega desde 24 horas habiles
- Para envio a sucursal debes poner en la direccion de envio la direccion de la sucursal

**************************************************************
TERMINOS Y CONDICIONES 
**************************************************************
- Entregamos boleta o factura
- Producto con 3 meses de garantia
- Envios a todo Chile
- Local fisico en Santiago Centro

Si el producto no cuenta con la opcion de Mercadoenvios enviamos por Chilexpress, Starken o Correos de Chile .",8990,,RM (Metropolitana),Santiago,253,15,5,5,24,204,4.6,16,0," Me esperaba algo peor por el precio pero tiene buenos materiales de construcción a diferencia de otros alternativos que he comprado, no se calienta más de lo necesario ni siento que me vaya a fundir el piso. Recomendado. Funciono bien pero ya se esta despegando el cable que va al notebook y funciona a medias, debo hacer varios movimientos para que cargue, ahí no mas la compre la verdad parece que voy a tener que comprar otro mas, por último debería ser mas resistente. Lo enchufé al notbook y se calentó, no estuvo más de 15 minutos enchufado, así que no lo he vuelto a usar. De muy mala calidad, a los días al conectarlo empezó a emanar olor a quemado. Siento que perdí mi dinero. Duro 1 mes y medio y se quemo el cargador , empezando con fallas cargaba cuando se le daba la gana.",154597798,PCTECNOCL,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Santiago,3,5,21307,1300,22607,0.93,0.02,0.05,2727,0.0069,0.0007,0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLC956085170,Cargador Notebook Acer Aspire 19v 3.42a 65w E3 E1 E15 5610,MLC9240,"Cargador alternativo para Notebook Acer. (compatibilidades al final de la descripción.

El cargador viene completamente sellado y nuevo, lo que asegura su alta calidad y desempeño al momento de usarlo.

El cargador tiene una conexión al notebook de 5.5x1.7 tal como se muestra en la imagen.

Somos ASC Parts, un mayorista internacional de piezas de computador. 
Te recomendamos consultar por la disponibilidad inmediata del producto antes de comprarlo directamente. 
Tenemos una persona encargada, por lo que en horario laboral te responderemos rápidamente! 

Despachos
Trabajamos con envíos de Mercadolibre a través de Chilexpress, por lo que los pedidos deberían llegar en menos de una semana a su destino.

Cambios y devoluciones
Para resolver cualquiera de estas situaciones, gestionamos el envío a través de Chilexpress. En caso de que sea un cambio por errores de la empresa, nosotros asumimos cualquier costo. Si es el cliente quien cometió el error, éste debe hacer llegar el producto a través de Chilexpress y se efectuará la devolución o cambio.

Producto compatible con:
Aspire:
E1-531 E1-531G E1-571 E1-571G E1-571P E1-571PG E1-731
1200, 1300, 1350, 1360, 1410, 1411, 1412, 1415, 1425p, 1430, 1440, 1450, 1500, 1551, 1610, 1620, 1640, 1650, 1660, 1662, 1680, 1690, 1695, 1700, 1800, 1810, 1830, 2000, 2200, 2420, 2920, 2930, 3000, 3010, 3020, 3030, 3050, 3100, 3103, 3200, 3500, 3510, 3600, 3610, 3620, 3628, 3640, 3670, 3680, 3690, 3810, 3820, 3935, 4220, 4230, 4235, 4240, 4310, 4315, 4320, 4330, 4332, 4336, 4520, 4530, 4535, 4540, 4551, 4553, 4625, 4710, 4715, 4720, 4730, 4740, 4741, 4745, 4810, 4820, 4920, 4930, 4935, 4937, 5000, 5010, 5020, 5030, 5050, 5100, 5110, 5220, 5230, 5235, 5236, 5241, 5300, 5310, 5315, 5320, 5330, 5332, 5334, 5335, 5338, 5500, 5510, 5516, 5517, 5520, 5530, 5532, 5535, 5536, 5538, 5540, 5541, 5542, 5543, 5550, 5552, 5553, 5560, 5570, 5580, 5590, 5610, 5625, 5630, 5650, 5680, 5710, 5710Z, 5720, 5730, 5735, 5738, 5739, 5740, 5741, 5745, 5810, 5820, 5910, 5920, 5930, 5935, 5940, 5942, 6530, 6920, 6930, 6935, 7000, 7100, 7220, 7230, 7235, 7320, 7330, 7520, 7530, 7535, 7540, 7720, 7730, 7735, 7736, 7738, 7740, 7745, 8730, 8920, 8930, 9010, 9100, 9110, 9120, 9300, 9400, 9500, 9510 

Extensa: 
2000, 2300, 2500, 3000, 3100, 4100, 4120, 4620, 4620Z, 4630, 4630, 5210, 5220, 5420, 5620, 5630, 7220, 7230, 7620, 7630 

Ferrari: 
1000, 3000, 3200, 3400, 4000, 5000, 5005, One, One 200

Travelmate:
660, 2000, 2100, 2300, 2350, 2400, 2410, 2420, 2430, 2440, 2470, 2480, 2490, 250, 2500, 290, 3200, 3210, 3220, 3230, 3240, 3250, 3260, 3270, 3280, 3290, 3300, 4000, 4010, 4020, 4050, 4060, 4070, 4080, 4100, 4150, 4200, 4230, 4260, 4320, 4400, 4500, 4520, 4600, 4650, 4720, 5220, 5230, 5310, 5320, 5520, 5530, 5710, 5720, 5730, 6000, 6231, 6252, 6291, 6292, 6492, 6493, 650, 6592, 6593, 660, 7220, 7320, 7330, 7520, 7530, 7720, 7730, 800, 8000, 8100, 8172, 8200, 8210, 8371 

Timeline:
8371G - 8471G, 8571G, C200, C210, C300",12769,,RM (Metropolitana),Macul,5,1,0,0,0,4,4.2,0,0," Bueno bueno. Excelente, exactamente lo que ofrecen. Me duro una semana y se quemó, pésimo producto de muy mala calidad, no recomiendo su compra, aun que ofrescan la garantia, la cual deben hacer todo el trámite para devolverlo y esperar que te reintegren el dinero, es decir pasan muchos días. Se supone que necesito un cargador que funcione y me ahorre tiempo, o no?.",566761639,AS1618727,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Macul,1,5,804,97,901,0.91,0.03,0.06,103,0.0084,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLC958944207,Cargador Orig. Netbook Packard Bell Dot_s.cl/010 ( Kav60 ),MLC9240,"Cargador original para netbook Packard Bell DOT_S.CL/010 (KAV60)

19V - 1.58A
Diámetro del conector: 5.5mm x 1.7mm

Totalmente nuevo

CONSULTA POR OTROS REPUESTOS PARA ESTE Y OTROS MODELOS
Se entrega boleta o factura según requerimiento del comprador",21000,,RM (Metropolitana),Pudahuel,0,0,0,0,0,0,0.0,0,0,,156380710,PCROCK_COMPUTACION,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Pudahuel,3,5,13581,1172,14753,0.95,0.02,0.03,2436,0.015,0.01,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLC929084184,Cargador Notebook 19v 3.42a Toshiba Satellite  Packard Bell,MLC9240,"Globalarcade 100% Online
--------------------------------------

Cargador para Asus Toshiba Lenovo Packard Bell 19V 3.42A 65W

Estado Nuevo cargador alternativo marca generica
(apto para cualquier pais)

Voltaje de salida 19V 3.42A

Potencia de salida Watts (65W)Plug cargador 5.5 x 2.5 mm
Cable poder incluido con enchufe nacional",9890,,RM (Metropolitana),San Joaquín,4,0,0,0,1,3,4.8,0,0," Me duró poco, lo alcancé a ocupar algo.",86556416,GLOBALARCADE,normal eshop mshops messages_as_seller,RM (Metropolitana),San Joaquín,2,5,4337,248,4585,0.76,0.14,0.1,481,0.008,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLC929084184,Cargador Notebook 19v 3.42a Toshiba Satellite  Packard Bell,MLC9240,"Globalarcade 100% Online
--------------------------------------

Cargador para Asus Toshiba Lenovo Packard Bell 19V 3.42A 65W

Estado Nuevo cargador alternativo marca generica
(apto para cualquier pais)

Voltaje de salida 19V 3.42A

Potencia de salida Watts (65W)Plug cargador 5.5 x 2.5 mm
Cable poder incluido con enchufe nacional",9890,,RM (Metropolitana),San Joaquín,4,0,0,0,1,3,4.8,0,0," Me duró poco, lo alcancé a ocupar algo.",86556416,GLOBALARCADE,normal eshop mshops messages_as_seller,RM (Metropolitana),San Joaquín,2,5,4337,248,4585,0.76,0.14,0.1,481,0.008,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLC951082625,Cargador Notebook Acer Aspire 19v 3.42a 65w E3 E1 E15 5610,MLC9240,"Cargador Notebook Acer Aspire 19v 3.42a 65w E3 E1 E15 5610

Cargador Notebook Acer Aspire 19v 3.42a 65w E3 E1 E15 5610
Con cable de poder.

Potencia de salida 65 Watts (65W)Plug cargador 5.5 x 1.7 mm
Cable de poder incluido, con enchufe nacional Algunos modelos compatibles
Acer AspireAcer Aspire 1200 - Acer Aspire 1300 - Acer Aspire 1350 - Acer Aspire 1360 - Acer Aspire 1410 - Acer Aspire 1411 - Acer Aspire 1412 - Acer Aspire 1415 - Acer Aspire 1425p - Acer Aspire 1430 - Acer Aspire 1440 - Acer Aspire 1450 - Acer Aspire 1500 - Acer Aspire 1551 - Acer Aspire 1610 - Acer Aspire 1620 - Acer Aspire 1640 - Acer Aspire 1650 - Acer Aspire 1660 - Acer Aspire 1662 - Acer Aspire 1680 - Acer Aspire 1690 - Acer Aspire 1695 - Acer Aspire 1700 - Acer Aspire 1800 - Acer Aspire 1810 - Acer Aspire 1830 - Acer Aspire 2000 - Acer Aspire 2200 - Acer Aspire 2420 - Acer Aspire 2920 - Acer Aspire 2930 - Acer Aspire 3000 - Acer Aspire 3010 - Acer Aspire 3020 - Acer Aspire 3030 - Acer Aspire 3050 - Acer Aspire 3100 - Acer Aspire 3103 - Acer Aspire 3200 - Acer Aspire 3500 - Acer Aspire 3510 - Acer Aspire 3600 - Acer Aspire 3610 - Acer Aspire 3620 - Acer Aspire 3628 - Acer Aspire 3640 - Acer Aspire 3670 - Acer Aspire 3680 - Acer Aspire 3690 - Acer Aspire 3810 - Acer Aspire 3820 - Acer Aspire 3935 - Acer Aspire 4220 - Acer Aspire 4230 - Acer Aspire 4235 - Acer Aspire 4240 - Acer Aspire 4310 - Acer Aspire 4315 - Acer Aspire 4320 - Acer Aspire 4330 - Acer Aspire 4332 - Acer Aspire 4336 - Acer Aspire 4520 - Acer Aspire 4530 - Acer Aspire 4535 - Acer Aspire 4540 - Acer Aspire 4551 - Acer Aspire 4553 - Acer Aspire 4625 - Acer Aspire 4710 - Acer Aspire 4715 - Acer Aspire 4720 - Acer Aspire 4730 - Acer Aspire 4740 - Acer Aspire 4741 - Acer Aspire 4745 - Acer Aspire 4810 - Acer Aspire 4820 - Acer Aspire 4920 - Acer Aspire 4930 - Acer Aspire 4935 - Acer Aspire 4937 - Acer Aspire 5000 - Acer Aspire 5010 - Acer Aspire 5020 - Acer Aspire 5030 - Acer Aspire 5050 - Acer Aspire 5100 - Acer Aspire 5110 - Acer Aspire 5220 - Acer Aspire 5230 - Acer Aspire 5235 - Acer Aspire 5236 - Acer Aspire 5241 - Acer Aspire 5300 - Acer Aspire 5310 - Acer Aspire 5315 - Acer Aspire 5320 - Acer Aspire 5330 - Acer Aspire 5332 - Acer Aspire 5334 - Acer Aspire 5335 - Acer Aspire 5338 - Acer Aspire 5500 - Acer Aspire 5510 - Acer Aspire 5516 - Acer Aspire 5517 - Acer Aspire 5520 - Acer Aspire 5530 - Acer Aspire 5532 - Acer Aspire 5535- Acer Aspire 5536 - Acer Aspire 5538 - Acer Aspire 5540 - Acer Aspire 5541 - Acer Aspire 5542 - Acer Aspire 5543 - Acer Aspire 5550 - Acer Aspire 5552 - Acer Aspire 5553 - Acer Aspire 5560 - Acer Aspire 5570 - Acer Aspire 5580 - Acer Aspire 5590 - Acer Aspire 5610 - Acer Aspire 5625 - Acer Aspire 5630 - Acer Aspire 5650 - Acer Aspire 5680 - Acer Aspire 5710 - Acer Aspire 5710Z - Acer Aspire 5720 - Acer Aspire 5730 - Acer Aspire 5735 - Acer Aspire 5738 - Acer Aspire 5739 - Acer Aspire 5740 - Acer Aspire 5741 - Acer Aspire 5745 - Acer Aspire 5810 - Acer Aspire 5820 - Acer Aspire 5910 - Acer Aspire 5920 - Acer Aspire 5930 - Acer Aspire 5935 - Acer Aspire 5940 - Acer Aspire 5942 - Acer Aspire 6530 - Acer Aspire 6920 - Acer Aspire 6930 - Acer Aspire 6935 - Acer Aspire 7000 - Acer Aspire 7100 - Acer Aspire 7220 - Acer Aspire 7230 - Acer Aspire 7235 - Acer Aspire 7320 - Acer Aspire 7330 - Acer Aspire 7520 - Acer Aspire 7530 - Acer Aspire 7535 - Acer Aspire 7540 - Acer Aspire 7720 - Acer Aspire 7730 - Acer Aspire 7735 - Acer Aspire 7736 - Acer Aspire 7738 - Acer Aspire 7740 - Acer Aspire 7745 - Acer Aspire 8730 - Acer Aspire 8920 - Acer Aspire 8930 - Acer Aspire 9010 - Acer Aspire 9100 - Acer Aspire 9110 - Acer Aspire 9120 - Acer Aspire 9300 - Acer Aspire 9400 - Acer Aspire 9500 - Acer Aspire 9510 Acer ExtensaAcer Extensa 2000 - Acer Extensa 2300 - Acer Extensa 2500- Acer Extensa - Acer Extensa 3000 - Acer Extensa 3100 - Acer Extensa 4100 - Acer Extensa 4120 - Acer Extensa 4620 - Acer Extensa 4620Z - Acer Extensa 4630 - Acer Extensa 4630 - Acer Extensa 5210 - Acer Extensa 5220 - Acer Extensa 5420 - Acer Extensa 5620 - Acer Extensa 5630 - Acer Extensa 7220 - Acer Extensa 7230 - Acer Extensa 7620 - Acer Extensa 7630Acer FerrariAcer Ferrari 1000 - Acer Ferrari 3000 - Acer Ferrari 3200 - Acer Ferrari 3400 - Acer Ferrari 4000- Acer Ferrari 5000 - Acer Ferrari 5005 - Acer Ferrari - Acer Ferrari One - Acer Ferrari One 200Acer TravelmateAcer Travelmate 660 - Acer Travelmate 2000 - Acer Travelmate 2100 - Acer Travelmate 2300 - Acer Travelmate 2350 - Acer Travelmate 2400 - Acer Travelmate 2410 - Acer Travelmate 2420 - Acer Travelmate 2430 - Acer Travelmate 2440 - Acer Travelmate 2470 - Acer Travelmate 2480 - Acer Travelmate 2490 - Acer Travelmate 250 - Acer Travelmate 2500 - Acer Travelmate 290 - Acer Travelmate 3200 - Acer Travelmate 3210 - Acer Travelmate 3220 - Acer Travelmate 3230 - Acer Travelmate 3240 - Acer Travelmate 3250 - Acer Travelmate 3260 - Acer Travelmate 3270 - Acer Travelmate 3280 - Acer Travelmate 3290 - Acer Travelmate 3300 - Acer Travelmate 4000 - Acer Travelmate 4010 - Acer Travelmate 4020 - Acer Travelmate 4050 - Acer Travelmate 4060 - Acer Travelmate 4070 - Acer Travelmate 4080 - Acer Travelmate 4100 - Acer Travelmate 4150 - Acer Travelmate 4200 - Acer Travelmate 4230 - Acer Travelmate 4260 - Acer Travelmate 4320 - Acer Travelmate 4400 - Acer Travelmate 4500 - Acer Travelmate 4520 - Acer Travelmate 4600 - Acer Travelmate 4650 - Acer Travelmate 4720 - Acer Travelmate 5220 - Acer Travelmate 5230 - Acer Travelmate 5310 - Acer Travelmate 5320 - Acer Travelmate 5520 - Acer Travelmate 5530 - Acer Travelmate 5710 - Acer Travelmate 5720 - Acer Travelmate 5730 - Acer Travelmate 6000 - Acer Travelmate 6231 - Acer Travelmate 6252 - Acer Travelmate 6291 - Acer Travelmate 6292 - Acer Travelmate 6492 - Acer Travelmate 6493 - Acer Travelmate 650 - Acer Travelmate 6592 - Acer Travelmate 6593 - Acer Travelmate 660 - Acer Travelmate 7220 - Acer Travelmate 7320 - Acer Travelmate 7330 - Acer Travelmate 7520 - Acer Travelmate 7530 - Acer Travelmate 7720 - Acer Travelmate 7730 - Acer Travelmate 800 - Acer Travelmate 8000 - Acer Travelmate 8100 - Acer Travelmate 8172 - Acer Travelmate 8200 - 8210 - Acer Travelmate - 8371 Timeline - Acer Travelmate 8371G - 8471G - Acer Travelmate 8571G - Acer Travelmate C200 - Acer Travelmate C210 - Acer Travelmate C300",9990,loyalty_discount_eligible good_quality_thumbnail extended_warranty_eligible good_quality_picture kvs_primary immediate_payment cart_eligible best_seller_candidate shipping_guaranteed,RM (Metropolitana),Providencia,176,7,2,5,18,144,4.6,7,3," A la semana de uso se rompió el cablebque conecta el cargador hacia el computador. Producto sensible, no se adapta bien a la entrada del notebook. No era lo que queria. No sirve para modelo. Calidad media, saca del apuro ,un detalle bastante molesto es que la caja del transformador es muy ruidosa emite un chirrido constante , pero por el precio peor es mascar lauchas.",653868583,COMERCIALIZACIONDEREPUESTOS,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Providencia,3,5,4883,311,5194,0.59,0.0,0.41,748,0.0088,0.0051,0.0,Acer,,Cargador Notebook Acer Aspire 19v 3.42a 65w E3 E1 E15 5610,65 W,,,,,,,,,,,,,,10.4 cm,300 g,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,,,
MLC550156115,Cargador Para Macbook 85 W Providencia Nuevo Modelo 1398,MLC9240,"Cargador Para Macbook 85w Providencia Nuevo Modelo A1398

Cargador para Macbook A1398
Nuevo Garantizado
Con adaptador incluido.
CON PLUG

********** Macbook Repuestos FB **********",21990,kvs_primary loyalty_discount_eligible good_quality_thumbnail good_quality_picture extended_warranty_eligible immediate_payment cart_eligible best_seller_candidate shipping_guaranteed,RM (Metropolitana),Providencia,47,8,1,2,1,35,4.1,0,0," Buen producto,nada a envidiar del original. Llevo como un mes usandolo y no he tenido ningun problema. Nunca funciono. Todo ok. Funcionó perfecto igual al original.",653868583,COMERCIALIZACIONDEREPUESTOS,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Providencia,3,5,4871,309,5180,0.59,0.0,0.41,759,0.0087,0.005,0.0,Genérico,Mag 2,85 w 1424,85 W,,,,,,,,,,,,,,14 cm,260 g,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,1.0,http://http2.mlstatic.com/D_885772-MLC43646890025_102020-I.jpg,https://articulo.mercadolibre.cl/MLC-550156115-cargador-para-macbook-85-w-providencia-nuevo-modelo-1398-_JM
MLC550156115,Cargador Para Macbook 85 W Providencia Nuevo Modelo 1398,MLC9240,"Cargador Para Macbook 85w Providencia Nuevo Modelo A1398

Cargador para Macbook A1398
Nuevo Garantizado
Con adaptador incluido.
CON PLUG

********** Macbook Repuestos FB **********",21990,kvs_primary loyalty_discount_eligible good_quality_thumbnail good_quality_picture extended_warranty_eligible immediate_payment cart_eligible best_seller_candidate shipping_guaranteed,RM (Metropolitana),Providencia,47,8,1,2,1,35,4.1,0,0," Buen producto,nada a envidiar del original. Llevo como un mes usandolo y no he tenido ningun problema. Nunca funciono. Todo ok. Funcionó perfecto igual al original.",653868583,COMERCIALIZACIONDEREPUESTOS,normal mshops credits_profile messages_as_seller,RM (Metropolitana),Providencia,3,5,4871,309,5180,0.59,0.0,0.41,759,0.0087,0.005,0.0,Genérico,Mag 2,85 w 1424,85 W,,,,,,,,,,,,,,14 cm,260 g,,,,,,,,,,Nuevo,,,,,,,,,,,,,,,,,1.0,http://http2.mlstatic.com/D_885772-MLC43646890025_102020-I.jpg,https://articulo.mercadolibre.cl/MLC-550156115-cargador-para-macbook-85-w-providencia-nuevo-modelo-1398-_JM
